BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Auszahlung_Abschoepfung_in_CHF;Auszahlung_Abschoepfung_in_CHF_pro_Einwohner;;;;;;
4551;Aadorf;2017;;;;;;;;
4711;Affeltrangen;2017;-255698;-102;;;;;;
4641;Altnau;2017;;;;;;;;
4881;Amlikon-Bissegg;2017;-239384;-184;;;;;;
4461;Amriswil;2017;-2519688;-190;;;;;;
4401;Arbon;2017;-3522272;-247;;;;;;
4536;Basadingen-Schlattingen;2017;-121246;-67;;;;;;
4891;Berg;2017;;;;;;;;
4801;Berlingen;2017;60767;69;;;;;;
4716;Bettwiesen;2017;-9376;-8;;;;;;
4721;Bichelsee-Balterswil;2017;;;;;;;;
4901;Birwinken;2017;-666896;-499;;;;;;
4471;Bischofszell;2017;;;;;;;;
4643;Bottighofen;2017;990064;454;;;;;;
4723;Braunau;2017;-14650;-19;;;;;;
4911;Buerglen;2017;;;;;;;;
4921;Bussnang;2017;17134;8;;;;;;
4545;Diessenhofen;2017;;;;;;;;
4406;Dozwil;2017;-103089;-142;;;;;;
4411;Egnach;2017;;;;;;;;
4476;Erlen;2017;-446683;-123;;;;;;
4646;Ermatingen;2017;421784;128;;;;;;
4806;Eschenz;2017;-31666;-18;;;;;;
4724;Eschlikon;2017;25544;6;;;;;;
4561;Felben-Wellhausen;2017;;;;;;;;
4726;Fischingen;2017;-493120;-184;;;;;;
4566;Frauenfeld;2017;-297752;-12;;;;;;
4571;Gachnang;2017;33755;8;;;;;;
4651;Gottlieben;2017;84413;261;;;;;;
4656;Guettingen;2017;;;;;;;;
4486;Hauptwil-Gottshaus;2017;-310842;-162;;;;;;
4416;Hefenhofen;2017;-39776;-32;;;;;;
4811;Herdern;2017;-211761;-207;;;;;;
4495;Hohentannen;2017;-233546;-391;;;;;;
4816;Homburg;2017;-353510;-230;;;;;;
4421;Horn;2017;253403;97;;;;;;
4590;Huettlingen;2017;-207074;-247;;;;;;
4821;Huettwilen;2017;;;;;;;;
4666;Kemmental;2017;-315946;-129;;;;;;
4426;Kesswil;2017;3619;4;;;;;;
4501;Kradolf-Schoenenberg;2017;-384308;-109;;;;;;
4671;Kreuzlingen;2017;-1672477;-78;;;;;;
4681;Langrickenbach;2017;-482950;-378;;;;;;
4683;Lengwil;2017;;;;;;;;
4741;Lommis;2017;;;;;;;;
4826;Mammern;2017;50755;78;;;;;;
4941;Maerstetten;2017;;;;;;;;
4591;Matzingen;2017;;;;;;;;
4831;Muellheim;2017;;;;;;;;
4746;Muenchwilen;2017;;;;;;;;
4691;Muensterlingen;2017;231702;70;;;;;;
4601;Neunforn;2017;46523;47;;;;;;
4841;Pfyn;2017;-53044;-27;;;;;;
4846;Raperswilen;2017;-108463;-277;;;;;;
4751;Rickenbach;2017;-99648;-36;;;;;;
4431;Roggwil;2017;23753;8;;;;;;
4436;Romanshorn;2017;-323100;-30;;;;;;
4851;Salenstein;2017;591712;460;;;;;;
4441;Salmsach;2017;-394164;-272;;;;;;
4546;Schlatt;2017;-19967;-12;;;;;;
4756;Schoenholzerswilen;2017;-374068;-446;;;;;;
4761;Sirnach;2017;;;;;;;;
4446;Sommeri;2017;-194785;-355;;;;;;
4864;Steckborn;2017;;;;;;;;
4606;Stettfurt;2017;79101;66;;;;;;
4506;Sulgen;2017;;0;;;;;;
4696;Taegerwilen;2017;187264;42;;;;;;
4611;Thundorf;2017;-164429;-113;;;;;;
4776;Tobel-Taegerschen;2017;-236789;-149;;;;;;
4616;Uesslingen-Buch;2017;-110392;-103;;;;;;
4451;Uttwil;2017;110282;59;;;;;;
4871;Wagenhausen;2017;-204269;-124;;;;;;
4701;Waeldi;2017;-96600;-92;;;;;;
4781;Waengi;2017;;;;;;;;
4621;Warth-Weiningen;2017;374176;299;;;;;;
4946;Weinfelden;2017;;;;;;;;
4951;Wigoltingen;2017;-126887;-53;;;;;;
4786;Wilen;2017;;;;;;;;
4791;Wuppenau;2017;-211701;-187;;;;;;
4511;Zihlschlacht-Sitterdorf;2017;557920;246;;;;;;
4551;Aadorf;2016;;;;;;;;
4711;Affeltrangen;2016;-262986;-106;;;;;;
4641;Altnau;2016;;;;;;;;
4881;Amlikon-Bissegg;2016;-212520;-161;;;;;;
4461;Amriswil;2016;-2889258;-221;;;;;;
4401;Arbon;2016;-2167332;-153;;;;;;
4536;Basadingen-Schlattingen;2016;-166560;-92;;;;;;
4891;Berg;2016;;;;;;;;
4801;Berlingen;2016;49707;58;;;;;;
4716;Bettwiesen;2016;;;;;;;;
4721;Bichelsee-Balterswil;2016;;;;;;;;
4901;Birwinken;2016;-678828;-501;;;;;;
4471;Bischofszell;2016;;;;;;;;
4643;Bottighofen;2016;900462;416;;;;;;
4723;Braunau;2016;-55044;-73;;;;;;
4911;Buerglen;2016;;;;;;;;
4921;Bussnang;2016;-26293;-12;;;;;;
4545;Diessenhofen;2016;;;;;;;;
4406;Dozwil;2016;-40826;-60;;;;;;
4411;Egnach;2016;;;;;;;;
4476;Erlen;2016;-293872;-81;;;;;;
4646;Ermatingen;2016;340776;107;;;;;;
4806;Eschenz;2016;-43491;-25;;;;;;
4724;Eschlikon;2016;12622;3;;;;;;
4561;Felben-Wellhausen;2016;;;;;;;;
4726;Fischingen;2016;-610392;-231;;;;;;
4566;Frauenfeld;2016;-223834;-9;;;;;;
4571;Gachnang;2016;37234;9;;;;;;
4651;Gottlieben;2016;77159;241;;;;;;
4656;Guettingen;2016;;;;;;;;
4486;Hauptwil-Gottshaus;2016;-249446;-131;;;;;;
4416;Hefenhofen;2016;-63099;-51;;;;;;
4811;Herdern;2016;-209277;-207;;;;;;
4495;Hohentannen;2016;-262732;-429;;;;;;
