BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Abschoepfung_in_CHF;Auszahlung_Mindestausstattung_in_CHF;Lastenausgleich_Sozialhilfe_in_CHF;Lastenausgleich_Flaeche_in_CHF;Lastenausgleich_Besondere_Belastungen_in_CHF;Auszahlung_Abschoepfung_in_CHF
4551;Aadorf;2017; ;; ; ;; 
4711;Affeltrangen;2017; ;-215490;-40208; ;;-255698
4641;Altnau;2017; ;; ; ;; 
4881;Amlikon-Bissegg;2017; ;; ;-239384;;-239384
4461;Amriswil;2017; ;-2307000;-212688; ;;-2519688
4401;Arbon;2017; ;-427680;-2594592; ;-500000;-3522272
4536;Basadingen-Schlattingen;2017; ;-79593; ;-41653;;-121246
4891;Berg;2017; ;; ; ;; 
4801;Berlingen;2017;60767;; ; ;;60767
4716;Bettwiesen;2017; ;;-9376; ;;-9376
4721;Bichelsee-Balterswil ;2017; ;; ; ;; 
4901;Birwinken;2017; ;-482390; ;-184506;;-666896
4471;Bischofszell;2017; ;; ; ;; 
4643;Bottighofen;2017;990064;; ; ;;990064
4723;Braunau;2017; ;-14650; ; ;;-14650
4911;Bürglen ;2017; ;; ; ;; 
4921;Bussnang;2017;17134;; ; ;;17134
4545;Diessenhofen;2017; ;; ; ;; 
4406;Dozwil;2017; ;-103089; ; ;;-103089
4411;Egnach;2017; ;; ; ;; 
4476;Erlen;2017; ;-446683; ; ;;-446683
4646;Ermatingen;2017;421784;; ; ;;421784
4806;Eschenz;2017; ;; ;-31666;;-31666
4724;Eschlikon;2017;25544;; ; ;;25544
4561;Felben-Wellhausen;2017; ;; ; ;; 
4726;Fischingen;2017; ;; ;-493120;;-493120
4566;Frauenfeld ;2017;504104;;-801856; ;;-297752
4571;Gachnang;2017;33755;; ; ;;33755
4651;Gottlieben;2017;84413;; ; ;;84413
4656;Güttingen;2017; ;; ; ;; 
4486;Hauptwil-Gottshaus;2017; ;-310842; ; ;;-310842
4416;Hefenhofen;2017; ;;-39776; ;;-39776
4811;Herdern;2017; ;; ;-211761;;-211761
4495;Hohentannen;2017; ;-109967; ;-123579;;-233546
4816;Homburg;2017; ;; ;-353510;;-353510
4421;Horn;2017;253403;; ; ;;253403
4590;Hüttlingen;2017; ;-137770; ;-69304;;-207074
4821;Hüttwilen;2017; ;; ; ;; 
4666;Kemmental;2017; ;; ;-315946;;-315946
4426;Kesswil;2017;3619;; ; ;;3619
4501;Kradolf-Schönenberg;2017; ;-384308; ; ;;-384308
4671;Kreuzlingen;2017;136631;;-1809108; ;;-1672477
4681;Langrickenbach;2017; ;-284705;-51160;-147085;;-482950
4683;Lengwil;2017; ;; ; ;; 
4741;Lommis;2017; ;; ; ;; 
4826;Mammern;2017;50755;; ; ;;50755
4941;Märstetten;2017; ;; ; ;; 
4591;Matzingen;2017; ;;; ;; 
4831;Müllheim;2017; ;; ; ;; 
4746;Münchwilen;2017; ;; ; ;; 
4691;Münsterlingen;2017;231702;; ; ;;231702
4601;Neunforn;2017;46523;; ; ;;46523
4841;Pfyn ;2017; ;-8355; ;-44689;;-53044
4846;Raperswilen;2017; ;-9540; ;-98923;;-108463
4751;Rickenbach;2017; ;;-99648; ;;-99648
4431;Roggwil;2017;23753;; ; ;;23753
4436;Romanshorn;2017; ;-323100; ; ;;-323100
4851;Salenstein;2017;591712;; ; ;;591712
4441;Salmsach;2017; ;-382556;-11608; ;;-394164
4546;Schlatt ;2017; ;-19967; ; ;;-19967
4756;Schönholzerswilen;2017; ;-200395; ;-173673;;-374068
4761;Sirnach ;2017; ;; ; ;; 
4446;Sommeri;2017; ;-160692; ;-34093;;-194785
4864;Steckborn;2017; ;; ; ;; 
4606;Stettfurt;2017;79101;; ; ;;79101
4506;Sulgen;2017; ;; ; ;; 
4696;Tägerwilen;2017;187264;; ; ;;187264
4611;Thundorf;2017; ;; ;-164429;;-164429
4776;Tobel-Tägerschen;2017; ;-236789; ; ;;-236789
4616;Uesslingen-Buch;2017;871;; ;-111263;;-110392
4451;Uttwil;2017;110282;; ; ;;110282
4871;Wagenhausen ;2017; ;-158619; ;-45650;;-204269
4701;Wäldi ;2017; ;; ;-96600;;-96600
4781;Wängi ;2017; ;; ; ;; 
